LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,CPIFORECAST,TOT,AGRWTH,A,1969,12.38956327,
KOR,CPIFORECAST,TOT,AGRWTH,A,1970,15.95034056,
KOR,CPIFORECAST,TOT,AGRWTH,A,1971,13.51170871,
KOR,CPIFORECAST,TOT,AGRWTH,A,1972,11.68898505,
KOR,CPIFORECAST,TOT,AGRWTH,A,1973,3.221025943,
KOR,CPIFORECAST,TOT,AGRWTH,A,1974,24.30419816,
KOR,CPIFORECAST,TOT,AGRWTH,A,1975,25.24926421,
KOR,CPIFORECAST,TOT,AGRWTH,A,1976,15.32731151,
KOR,CPIFORECAST,TOT,AGRWTH,A,1977,10.0966749,
KOR,CPIFORECAST,TOT,AGRWTH,A,1978,14.46028246,
KOR,CPIFORECAST,TOT,AGRWTH,A,1979,18.32349063,
KOR,CPIFORECAST,TOT,AGRWTH,A,1980,28.6976017,
KOR,CPIFORECAST,TOT,AGRWTH,A,1981,21.35165392,
KOR,CPIFORECAST,TOT,AGRWTH,A,1982,7.190845758,
KOR,CPIFORECAST,TOT,AGRWTH,A,1983,3.420607782,
KOR,CPIFORECAST,TOT,AGRWTH,A,1984,2.273957062,
KOR,CPIFORECAST,TOT,AGRWTH,A,1985,2.459110604,
KOR,CPIFORECAST,TOT,AGRWTH,A,1986,2.749980413,
KOR,CPIFORECAST,TOT,AGRWTH,A,1987,3.049659647,
KOR,CPIFORECAST,TOT,AGRWTH,A,1988,7.146100369,
KOR,CPIFORECAST,TOT,AGRWTH,A,1989,5.70016009,
KOR,CPIFORECAST,TOT,AGRWTH,A,1990,8.573598954,
KOR,CPIFORECAST,TOT,AGRWTH,A,1991,9.333360725,
KOR,CPIFORECAST,TOT,AGRWTH,A,1992,6.212678645,
KOR,CPIFORECAST,TOT,AGRWTH,A,1993,4.80110249,
KOR,CPIFORECAST,TOT,AGRWTH,A,1994,6.265814772,
KOR,CPIFORECAST,TOT,AGRWTH,A,1995,4.480686995,
KOR,CPIFORECAST,TOT,AGRWTH,A,1996,4.924809687,
KOR,CPIFORECAST,TOT,AGRWTH,A,1997,4.439063761,
KOR,CPIFORECAST,TOT,AGRWTH,A,1998,7.513340122,
KOR,CPIFORECAST,TOT,AGRWTH,A,1999,0.812996589,
KOR,CPIFORECAST,TOT,AGRWTH,A,2000,2.259184779,
KOR,CPIFORECAST,TOT,AGRWTH,A,2001,4.066419648,
KOR,CPIFORECAST,TOT,AGRWTH,A,2002,2.762511352,
KOR,CPIFORECAST,TOT,AGRWTH,A,2003,3.514879242,
